transaction_id,date,amount,description,category,is_anomaly
TRX-000001,2023-06-22 22:43:23,13986.86,Стипендія,Дохід,False
TRX-000002,2023-08-05 18:21:03,-1889.39,Електроніка Comfy,Покупки,False
TRX-000003,2024-10-17 10:23:08,14590.75,Зарплата,Дохід,False
TRX-000004,2025-02-24 01:00:38,-1609.21,Клуб 'Атлас',Розваги,False
TRX-000005,2025-04-26 12:53:27,-264.88,Укрзалізниця квиток,Транспорт,False
TRX-000006,2023-01-11 02:17:28,-1812.69,Rozetka.ua замовлення,Покупки,False
TRX-000007,2024-06-12 13:27:31,-815.84,Сільпо,Їжа та Продукти,False
TRX-000008,2024-06-06 21:09:15,-653.49,Кафе 'Львівські Пляцки',Їжа та Продукти,False
TRX-000009,2024-06-18 07:35:55,-812.21,Кінотеатр Multiplex,Розваги,False
TRX-000010,2025-04-13 00:01:56,-608.51,Кафе 'Львівські Пляцки',Їжа та Продукти,False
TRX-000011,2024-03-31 10:28:42,-768.29,Стоматологія,Здоров'я та Краса,False
TRX-000012,2023-04-19 01:12:14,10137.08,Переказ від родичів,Дохід,False
TRX-000013,2023-05-04 22:51:37,-1120.98,Аптека 'Доброго Дня',Здоров'я та Краса,False
TRX-000014,2024-12-05 08:21:40,-234.69,Концерт в Оперному,Розваги,False
TRX-000015,2024-07-05 21:27:06,-155.02,Фора,Їжа та Продукти,False
TRX-000016,2023-04-21 22:04:42,-775.08,Клуб 'Атлас',Розваги,False
TRX-000017,2024-01-16 07:12:46,-297.43,Кафе 'Львівські Пляцки',Їжа та Продукти,False
TRX-000018,2025-05-15 04:35:29,-562.85,Фора,Їжа та Продукти,False
TRX-000019,2023-03-28 21:31:04,-318.4,АТБ,Їжа та Продукти,False
TRX-000020,2024-09-15 04:30:26,-217.54,Сільпо,Їжа та Продукти,False
TRX-000021,2025-05-31 02:00:17,-1732.82,Стоматологія,Здоров'я та Краса,False
TRX-000022,2025-02-14 12:41:25,-266.13,Укрзалізниця квиток,Транспорт,False
TRX-000023,2023-08-05 21:47:44,-513.51,Піцерія Domino's,Їжа та Продукти,False
TRX-000024,2025-06-27 02:56:43,-86.29,Проїзд в автобусі,Транспорт,False
TRX-000025,2023-12-07 16:52:13,-727.81,Поповнення мобільного,Інше,False
TRX-000026,2023-05-22 05:20:54,-2088.74,ЦУМ Київ,Покупки,False
TRX-000027,2023-09-06 12:33:40,-1079.21,Одяг Zara,Покупки,False
TRX-000028,2024-08-20 17:09:54,-356.35,Укрзалізниця квиток,Транспорт,False
TRX-000029,2025-05-09 09:45:22,-699.68,Аптека 'Доброго Дня',Здоров'я та Краса,False
TRX-000030,2023-06-27 22:47:54,-883.32,Концерт в Оперному,Розваги,False
TRX-000031,2024-06-12 10:39:39,-379.66,Кафе 'Львівські Пляцки',Їжа та Продукти,False
TRX-000032,2023-01-06 00:59:38,-8704.56,Поповнення Sense SuperApp,Перекази,False
TRX-000033,2025-02-16 15:12:10,-1989.2,Електроніка Comfy,Покупки,False
TRX-000034,2024-04-08 14:49:41,-471.14,Клініка 'Борис',Здоров'я та Краса,False
